0,1,2
"('http://www.wikidata.org/entity/Q57506961', 'Super séance (2003-2004)')","('http://www.wikidata.org/entity/Q57501044', 'Super séance (2002-2003)')",
"('http://www.wikidata.org/entity/Q57509086', 'WOTH - The Weighing of the heart (2015-2016)')","('http://www.wikidata.org/entity/Q57507953', 'WOTH - The Weighing of the heart (2014-2015)')",
"('http://www.wikidata.org/entity/Q57513318', 'Death is certain (2016-2017)')","('http://www.wikidata.org/entity/Q57514399', 'Death is certain (2014-2015)')",
"('http://www.wikidata.org/entity/Q57698306', 'Die Frau ohne Schatten (1996-1997)')","('http://www.wikidata.org/entity/Q57512576', 'Die Frau ohne Schatten (2004-2005)')",
"('http://www.wikidata.org/entity/Q57513059', 'Dwangvoorstelling (2003-2004)')","('http://www.wikidata.org/entity/Q57505250', 'Dwangvoorstelling (2002-2003)')",
"('http://www.wikidata.org/entity/Q57501707', 'My dinner with André (franstalige versie) (2005-2006)')","('http://www.wikidata.org/entity/Q57511576', 'My dinner with André (franstalige versie) (2014-2015)')",
"('http://www.wikidata.org/entity/Q57507743', 'Gebroken dromen (2014-2015)')","('http://www.wikidata.org/entity/Q57514135', 'Gebroken dromen (2012-2013)')",
"('http://www.wikidata.org/entity/Q57501676', 'Fear and Desire (2013-2014)')","('http://www.wikidata.org/entity/Q57502414', 'Fear and Desire (2015-2016)')",
"('http://www.wikidata.org/entity/Q57507604', 'Shirtologie (2014-2015)')","('http://www.wikidata.org/entity/Q57501436', 'Shirtologie (2015-2016)')",
"('http://www.wikidata.org/entity/Q57514268', 'P Project (2012-2013)')","('http://www.wikidata.org/entity/Q57512370', 'P Project (2014-2015)')",
"('http://www.wikidata.org/entity/Q57514388', 'Don Giovanni (2006-2007)')","('http://www.wikidata.org/entity/Q57512242', 'Don Giovanni (2005-2006)')",
"('http://www.wikidata.org/entity/Q57511141', 'KHOR II (2014-2015)')","('http://www.wikidata.org/entity/Q57509100', 'KHOR II (2015-2016)')",
"('http://www.wikidata.org/entity/Q57509432', ""While I Was Waiting (Alors que j'attendais) (2016-2017)"")","('http://www.wikidata.org/entity/Q57501003', ""While I Was Waiting (Alors que j'attendais) (2018-2019)"")",
"('http://www.wikidata.org/entity/Q57502189', 'All Natural (2009-2010)')","('http://www.wikidata.org/entity/Q57698567', 'All Natural (2006-2007)')",
"('http://www.wikidata.org/entity/Q57508090', 'Vaders en eieren (1998-1999)')","('http://www.wikidata.org/entity/Q57502729', 'Vaders en eieren (2007-2008)')",
"('http://www.wikidata.org/entity/Q57512463', 'Excavations: The Anatomy Lesson - A Forensic Fairytale (2010-2011)')","('http://www.wikidata.org/entity/Q57504177', 'Excavations: The Anatomy Lesson - A Forensic Fairytale (2008-2009)')",
"('http://www.wikidata.org/entity/Q57505280', 'Crazy But True (2018-2019)')","('http://www.wikidata.org/entity/Q57502962', 'Crazy But True (2016-2017)')",
"('http://www.wikidata.org/entity/Q57505654', 'Wozzeck (2007-2008)')","('http://www.wikidata.org/entity/Q57511101', 'Wozzeck (2009-2010)')",
"('http://www.wikidata.org/entity/Q57507993', 'De koning en de rest (1995-1996)')","('http://www.wikidata.org/entity/Q57513398', 'De koning en de rest (1999-2000)')",
"('http://www.wikidata.org/entity/Q57644942', 'Metamorphosen (2002-2003)')","('http://www.wikidata.org/entity/Q57513920', 'Metamorphosen (2008-2009)')",
"('http://www.wikidata.org/entity/Q57506020', 'Your Brother. Remember? (2014-2015)')","('http://www.wikidata.org/entity/Q57513937', 'Your Brother. Remember? (2009-2010)')",
"('http://www.wikidata.org/entity/Q57508558', ""La Cucina dell' Arte (2018-2019)"")","('http://www.wikidata.org/entity/Q57505215', ""La Cucina dell' Arte (2014-2015)"")",
"('http://www.wikidata.org/entity/Q57505706', 'Kronkel (2017-2018)')","('http://www.wikidata.org/entity/Q57501647', 'Kronkel (2009-2010)')","('http://www.wikidata.org/entity/Q57511950', 'Kronkel (2008-2009)')"
"('http://www.wikidata.org/entity/Q57501978', 'Starend meisje (2014-2015)')","('http://www.wikidata.org/entity/Q57503283', 'Starend meisje (2016-2017)')",
"('http://www.wikidata.org/entity/Q57513978', 'Both Sitting Duet (2002-2003)')","('http://www.wikidata.org/entity/Q57511855', 'Both Sitting Duet (2015-2016)')",
"('http://www.wikidata.org/entity/Q57507102', 'deWattman (2017-2018)')","('http://www.wikidata.org/entity/Q57509593', 'deWattman (2016-2017)')",
"('http://www.wikidata.org/entity/Q57512362', 'Wortels (2004-2005)')","('http://www.wikidata.org/entity/Q57511992', 'Wortels (2006-2007)')",
"('http://www.wikidata.org/entity/Q57509570', 'Repelsteel (2014-2015)')","('http://www.wikidata.org/entity/Q57509370', 'Repelsteel (2017-2018)')",
"('http://www.wikidata.org/entity/Q57515926', '4: Still Life (2013-2014)')","('http://www.wikidata.org/entity/Q57506631', '4: Still Life (2014-2015)')",
